nama-makanan,kalori,protein,karbohidrat,lemak,serat,link
Brownies Kukus,40.3,0,0,0,0,https://www.dapurumami.com/resep/brownies-kukus-MPaAa
Opor Nangka,98.8,0,0,0,0,https://www.dapurumami.com/resep/opor-nangka-FKoz5
Sup Tomat Jamur,33.5,0,0,0,0,https://www.dapurumami.com/resep/sup-tomat-jamur-k9Pif
Kerang Teriyaki,29,0,0,0,0,https://www.dapurumami.com/resep/kerang-teriyaki-4unVn
Bihun Goreng Petai,124.3,0,0,0,0,https://www.dapurumami.com/resep/bihun-goreng-petai-9qHrO
Crepes Tuna Mayo,19.9,0,0,0,0,https://www.dapurumami.com/resep/crepes-tuna-mayo-z8Ksc
Tempe Panggang Sajiku®,54.2,0,0,0,0,https://www.dapurumami.com/resep/tempe-panggang-sajiku-9mm7A
Macaroni Hijau,164.8,0,0,0,0,https://www.dapurumami.com/resep/macaroni-hijau-uBrGw
Ayam Isi Keju,237,0,0,0,0,https://www.dapurumami.com/resep/ayam-isi-keju-E5Yd6
Nasi Goreng Shitake,88.3,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-shitake-x1wqP
Lawar Sangrai,45,0,0,0,0,https://www.dapurumami.com/resep/lawar-sangrai-bQu2L
Ayam Plecing,80.5,0,0,0,0,https://www.dapurumami.com/resep/ayam-plecing-UsnXN
Telur Bumbu Rujak,26.8,0,0,0,0,https://www.dapurumami.com/resep/telur-bumbu-rujak-Er3BX
Sup Tahu,38.3,0,0,0,0,https://www.dapurumami.com/resep/sup-tahu-EVA2N
Fu Yung Hai,57,0,0,0,0,https://www.dapurumami.com/resep/fu-yung-hai-zJsB4
Gurame Saus Besengek,166.8,0,0,0,0,https://www.dapurumami.com/resep/gurame-saus-besengek-9VrRO
Steak Daging Giling,126.8,0,0,0,0,https://www.dapurumami.com/resep/steak-daging-giling-qbA9X
Orek Tempe Teri,74.5,0,0,0,0,https://www.dapurumami.com/resep/orek-tempe-teri-xJ46T
Skotel Nasi,112,0,0,0,0,https://www.dapurumami.com/resep/skotel-nasi-IKmxB
Pizza Daging Asap,93.4,0,0,0,0,https://www.dapurumami.com/resep/pizza-daging-asap-ys873
Sate Bakso Sajiku®,87.3,5.4,23.3,5.4,1.6,https://www.dapurumami.com/resep/sate-bakso-ruwBq
Menu Sang Juara: Kailan Cah Udang,29.5,0,0,0,0,https://www.dapurumami.com/resep/menu-sang-juara-kailan-cah-udang-I0o4l
Nugget Ayam Sayur,7,0,0,0,0,https://www.dapurumami.com/resep/nugget-ayam-sayur-t8jrA
Gurame Saus Salsa,89.3,0,0,0,0,https://www.dapurumami.com/resep/gurame-saus-salsa-V4zec
Sosis Tauge  Teriyaki,60.8,0,0,0,0,https://www.dapurumami.com/resep/sosis-tauge-teriyaki-4M7Bi
Soto Kacang Merah,115,0,0,0,0,https://www.dapurumami.com/resep/soto-kacang-merah-UDzPc
Perkedel Bayam,30.2,0,0,0,0,https://www.dapurumami.com/resep/perkedel-bayam-8G8SV
Rendang Telur,98.7,0,0,0,0,https://www.dapurumami.com/resep/rendang-telur-HQ1id
Sayur Godog Udang,168.5,0,0,0,0,https://www.dapurumami.com/resep/sayur-godog-udang-X7GxM
Serabi Jagung,102.2,0,0,0,0,https://www.dapurumami.com/resep/serabi-jagung-3RY4x
Pempek Telur Puyuh,23.3,0,0,0,0,https://www.dapurumami.com/resep/pempek-telur-puyuh-30yKS
Samosa Tempe,9.4,0,0,0,0,https://www.dapurumami.com/resep/samosa-tempe-glY2V
Buncis Telur Asin ala,56.8,0,0,0,0,https://www.dapurumami.com/resep/buncis-telur-asin-IeUYr
Gandus Umami,84.2,0,0,0,0,https://www.dapurumami.com/resep/gandus-umami-sJ2bK
Kroket Udang Keju,24.5,0,0,0,0,https://www.dapurumami.com/resep/kroket-udang-keju-7q0AF
Pepes Oncom,280.5,9.3,13.8,21.7,0,https://www.dapurumami.com/resep/pepes-oncom-TNEEy
Tongseng Daging Tomat,91,0,0,0,0,https://www.dapurumami.com/resep/tongseng-daging-tomat-PSrNt
Tahu  Teriyaki,49.5,0,0,0,0,https://www.dapurumami.com/resep/tahu-teriyaki-nAUDR
Lemper Isi Rendang,402.2,9.3,38.7,17.7,0.2,https://www.dapurumami.com/resep/lemper-isi-rendang-af63K
Kikil Daun Singkong Bumbu Rendang,542,25,14.8,46.3,1.3,https://www.dapurumami.com/resep/kikil-daun-singkong-bumbu-rendang-zKzQI
Serundeng Udang Rebon,4,0.1,0.2,0.3,0,https://www.dapurumami.com/resep/serundeng-udang-rebon-oybh6
Botok Tahu Krecek,377,40.8,7.5,18.8,0.2,https://www.dapurumami.com/resep/botok-tahu-krecek-MTh6l
Risoto Nasi Seafood,438,25,62.3,13.3,0.7,https://www.dapurumami.com/resep/risoto-nasi-seafood-EN8bo
Soto Ceker Lobak,556.6,23.8,8.8,49.6,0.4,https://www.dapurumami.com/resep/soto-ceker-lobak-CB3h5
Sop Iga Sapi,463,18,16,34,0.5,https://www.dapurumami.com/resep/sop-iga-sapi-3U6Nj
Beef Sausage Sandwich with Vegetables,756.3,38,88.7,12.7,1.3,https://www.dapurumami.com/resep/beef-sausage-sandwich-with-vegetables-uXwGE
Asem Asem Daging,1076,64,30.7,77.3,4,https://www.dapurumami.com/resep/asem-asem-daging-fDJvJ
Bandeng Balado Tomat,345.3,37,17,12.3,2.7,https://www.dapurumami.com/resep/bandeng-balado-tomat-F9A4p
Cah Daging Paprika,323.3,20,8.3,24,1,https://www.dapurumami.com/resep/cah-daging-paprika-kJ7DV
Nasi Goreng Pedas Sajiku®,755.5,34,100,23,1.5,https://www.dapurumami.com/resep/nasi-goreng-pedas-sajiku-3rzmt
Donat Abon,23.8,0,0,0,0,https://www.dapurumami.com/resep/donat-abon-dpV4z
Soto Daging,1182.7,34,60.3,33,0.7,https://www.dapurumami.com/resep/soto-daging-gWb6d
Pepes Tahu Kering,564.5,35.5,14.5,43,1.5,https://www.dapurumami.com/resep/pepes-tahu-kering-CpKb3
Kothoan ikan Pe Surabaya,753,44.5,35,24,0.5,https://www.dapurumami.com/resep/kothoan-ikan-pe-surabaya-aV7jf
Telur Krispi,566,29.5,232,45.5,20,https://www.dapurumami.com/resep/telur-krispi-q1TCF
Jamur Crispy Saus Jeruk,71.3,0,0,0,0,https://www.dapurumami.com/resep/jamur-crispy-saus-jeruk-mAqMS
Kacang Panjang Gulung Daging,50.4,0,0,0,0,https://www.dapurumami.com/resep/kacang-panjang-gulung-daging-jM9Cb
Tumis Brokoli Kerang Hijau,122,0,0,0,0,https://www.dapurumami.com/resep/tumis-brokoli-kerang-hijau-3zVsm
Bubur Manado,36.3,0,0,0,0,https://www.dapurumami.com/resep/bubur-manado-fmoqq
Nasi Goreng Seafood,98.3,0,0,0,0,https://www.dapurumami.com/resep/nasi-goreng-seafood-jzfBC
Bolu Gulung Kacang Keju,45.2,0,0,0,0,https://www.dapurumami.com/resep/bolu-gulung-kacang-keju-aIqT8
Cumi Panggang  Teriyaki,39.6,0,0,0,0,https://www.dapurumami.com/resep/cumi-panggang-teriyaki-pDjip
Sandwich Telur Mayumi®️,13.7,0,0,0,0,https://www.dapurumami.com/resep/sandwich-telur-CM2al
Tumis Sayur Pelangi,42.8,0,0,0,0,https://www.dapurumami.com/resep/tumis-sayur-pelangi-CpFqx
Siomay Ikan,9.8,0,0,0,0,https://www.dapurumami.com/resep/siomay-ikan-DVvSz
Mie Panjang Umur ala,76.3,0,0,0,0,https://www.dapurumami.com/resep/mie-panjang-umur-H3jpg
Calamari Saus Madu,71,0,0,0,0,https://www.dapurumami.com/resep/calamari-saus-madu-K5BeS
Udang Saus Mayo Mayumi®️,108.5,0,0,0,0,https://www.dapurumami.com/resep/udang-saus-mayo-XdO9o
Nasi Tim Ayam Jagung ala,123.8,0,0,0,0,https://www.dapurumami.com/resep/nasi-tim-ayam-jagung-YFDQL
Kakap Panggang Jahe,46.8,0,0,0,0,https://www.dapurumami.com/resep/kakap-panggang-jahe-a2b3b
Bebek Sambal Bali,96,0,0,0,0,https://www.dapurumami.com/resep/bebek-sambal-bali-RymSh
Sapo Tahu Jamur ala,72.3,0,0,0,0,https://www.dapurumami.com/resep/sapo-tahu-jamur-CdX1q
Rolade Tahu Ayam,23.3,0,0,0,0,https://www.dapurumami.com/resep/rolade-tahu-ayam-ra40W
Burger Tempe,10.6,0,0,0,0,https://www.dapurumami.com/resep/burger-tempe-4Sbso
Risol Daging Mayo Mayumi®️,25.5,0,0,0,0,https://www.dapurumami.com/resep/risol-daging-mayo-dpxmN
Spaghetti Udang,50.5,0,0,0,0,https://www.dapurumami.com/resep/spaghetti-udang-OGmhS
Terong Kuah Siram ala,66.3,0,0,0,0,https://www.dapurumami.com/resep/terong-kuah-siram-hpZci
Tumis Pare,26.8,0,0,0,0,https://www.dapurumami.com/resep/tumis-pare-BW2Qt
Tahu Isi Udang,23,0,0,0,0,https://www.dapurumami.com/resep/tahu-isi-udang-96xYH
